Format Import Sarana					RS Umum  Mutia Sari			
Kode Faskes	1408055							
Form	f1							
								
mark	Sarana			Tersedia	Tahun		Kondisi	Keterangan
					Pendirian	Renovasi		
*	Pelayanan Medik dan Keperawatan							
**		Pelayanan Rawat Intensif (ICU)						
857			Gudang Kotor (Spoelhoek/ dirty ultility)	Ada	2023		Baik	
1036			Gudang alat medik	Ada	2023		Baik	
852			Sentral Monitoring/ Nurse Station ICU	Ada	2023		Baik	
859			Toilet Petugas	Ada	2016		Baik	
855			Ruangan Dokter ICU	Ada	2023		Baik	
854			Ruangan Administrasi	Ada	2016		Baik	
853			Gudang Bersih (Clean Utility)	-			Baik	"{""nama"":""Gudang"",""ket"":""simpan alat-alat bersih""}"
862			Toilet Pengunjung	Ada	2016		Baik	
1030			Loker (Ruang Ganti)	Ada	2016		Baik	
1031			Ruangan Perawat ICU	Ada	2023		Baik	
1032			Ruangan Kepala Perawat ICU	-			Baik	
1033			Ruangan rawat pasien non isolasi ICU	Ada	2016		Baik	
1057			Ruangan parkir brankar	Ada	2016		Baik	
861			Ruangan Tunggu Pengantar/Keluarga pasien ICU	Ada	2016		Baik	
863			Ruangan Janitor/ ruangan cleaning service	-			Baik	
160			Ruangan rawat pasien Isolasi tipe tekanan standar (kelas S) ICU	Ada	2023		Baik	
123			ICCU Jantung dan Pembuluh Darah	-			Baik	
151			Perawatan Intensif Luka Bakar (Burn ICU)	-			Baik	
204			Unit Stroke	-			Baik	
856			Loker/ Ruangan Ganti Pakaian Petugas	Ada	2016		Baik	
860			Ruangan Ganti Pakaian Petugas ICU	Ada	2016		Baik	
864			Ruangan Diskusi Medis	-			Baik	
90205			Ruangan rawat pasien Isolasi tipe tekanan positif (kelas P) ICU	-			Baik	
90206			Ruangan rawat pasien Isolasi tipe tekanan negatif (kelas N) ICU	-			Baik	
**		Pelayanan Kebidanan dan Penyakit Kandungan						
1027			Ruangan Dokter	Ada	2016		Baik	
1006			Ruangan Administrasi dan Pendaftaran	Ada	2016		Baik	
632			Ruang Tunggu Pengantar Pasien	Ada	2016		Baik	
627			Ruang Scrub/Cuci Tangan	Ada	2016		Baik	
622			Ruangan Persiapan Bersalin (Observasi) Tanpa Komplikasi/Kala II-III (labour)	Ada	2016		Baik	
1014			Ruang Persiapan Bersalin (Observasi) dengan komplikasi (pre-eclamsy labour)	Ada	2016		Baik	
624			Pemulihan/Recovery	Ada	2016		Baik	
1022			Ruangan Perawatan (Post Partum)	Ada	2016		Baik	
635			Ruang Bayi Normal/Transisi	Ada	2016		Baik	
